School No,School Name,Status,Products 2025,Products 2026,Dropped Products
3991655,"Delhi Public School Nashik, Village Manori",Dropped,ASSET,None,ASSET
3992442,Golden Era Millennium School,Dropped,Mindspark,None,Mindspark
3992445,Golden Gates Vidhyashram,Dropped,Mindspark,None,Mindspark
3992655,Gurukula International School,Dropped,CARES,None,CARES
3992708,Gyanjyoti Kanchanben Rasiklal Vidyalaya,Dropped,CARES,None,CARES
3992812,Heritage Vidhyalaya,Dropped,Mindspark,None,Mindspark
3992830,"Him Academy Public School, Vikas Nagar",Dropped,CARES,None,CARES
3992841,Hind Zinc Vidyalaya,Dropped,CARES,None,CARES
3992941,Holy Writ High School & Junior College,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
399475,"St. Francis De Sales Hr. Secondary School, Narengi",Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
3994892,Kavyapta Global School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3996253,Ridge School,Dropped,ASSET,None,ASSET
3996943,Satyanarayan Academy,Dropped,ASSET,None,ASSET
3996980,Scholars Abode School,Dropped,CARES,None,CARES
3997080,Seven Star Senior Secondary Public School,Dropped,CARES,None,CARES
3997396,"Shri A.B. Patil English School, Sangli",Dropped,CARES,None,CARES
3998030,Sri Sarvajna Public School,Dropped,ASSET,None,ASSET
3998876,St.Michael^s Academy,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
3999184,Takshila,Dropped,CARES,None,CARES
3999269,The Blue Bells English Medium School,Dropped,CARES,None,CARES
3999496,Sky World School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3999846,Vidya Peetam,Dropped,ASSET,None,ASSET
4000011,Viswabharathi Wisewoods (Em) High School,Dropped,CARES,None,CARES
4000118,"Witty International School, Bhilwara",Dropped,ASSET,None,ASSET
4000123,"Witty International School, Udaipur",Dropped,ASSET,None,ASSET
4000126,"Witty International School, Borivali (W)",Dropped,ASSET,None,ASSET
4001826,Prem Prakash International School,Dropped,CARES,None,CARES
4002148,Mothers Public School-Khandagiri,Dropped,"ASSET, CARES",None,"ASSET, CARES"
4007320,"Motilal Talera English Medium School, Pune",Dropped,CARES,None,CARES
401650,Pramila Memorial Advanced School,Dropped,CARES,None,CARES
4030028,Richmondd Convent School,Dropped,CARES,None,CARES
4041890,"Apeejay School, Bhubaneswar",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
4050265,Green Valley International School,Dropped,CARES,None,CARES
4052744,Priyadarshani School and Junior college Moshi,Dropped,ASSET,None,ASSET
4062318,"Global Indian International School, Bannerghatta",Dropped,ASSET,None,ASSET
4064726,"Cambridge International School, Palampur",Dropped,CARES,None,CARES
4082390,The Oriental School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
4091040,Vyasanagar Public School,Dropped,CARES,None,CARES
4104626,"Delhi Public School, Rajpura",Dropped,Mindspark,None,Mindspark
4105283,"The Shishukunj International School, North Campus",Dropped,"ASSET, CARES",None,"ASSET, CARES"
411876,Inventure Academy,Dropped,Mindspark,None,Mindspark
41269,Navrachana Vidyani Vidyalaya,Dropped,CARES,None,CARES
4129415,Manas International Play and Primary School,Dropped,Mindspark,None,Mindspark
414020,St. Joseph's Convent,Dropped,CARES,None,CARES
4156856,D L F Public School-IGCSE,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
4156961,Disha India Community School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
416343,"Reliance Foundation School, Lodhivali",Dropped,ASSET,None,ASSET
4164567,Bellwether International School,Dropped,Mindspark,None,Mindspark
4165785,Don Bosco School Kalyani,Dropped,CARES,None,CARES
4166956,Delhi World Public School,Dropped,Mindspark,None,Mindspark
416793,Sanskriti The Gurukul,Dropped,ASSET,None,ASSET
420525,Greenwood High (An International School),Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
42625,"St. Kabir Public School, Chandigarh",Dropped,CARES,None,CARES
434619,"Witty International School, Malad (W)",Dropped,ASSET,None,ASSET
437634,Nand Vidya Niketan,Dropped,CARES,None,CARES
440751,Hollotoli School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
452934,Vimala Convent School,Dropped,CARES,None,CARES
463877,The Blossom Sunderbhai Thackersey English High School,Dropped,CARES,None,CARES
46864,St. Anthony^S School,Dropped,CARES,None,CARES
47745,St. George^s School,Dropped,ASSET,None,ASSET
4930,GEAR Innovative International School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5000918,"Elpro International School, Chinchwad",Dropped,ASSET,None,ASSET
5002504,"Vimukti Girls School, Jaipur",Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5002616,Sri Kumaran Children^s Home CBSE,Dropped,CARES,None,CARES
5002617,"Sri Kumaran Children^s Academy, Bangalore",Dropped,CARES,None,CARES
5002619,G.D.Goenka Public School Dakshineswar,Dropped,ASSET,None,ASSET
5002735,"SES Gurukul, Pune",Dropped,ASSET,None,ASSET
5002738,Himali Boarding School,Dropped,CARES,None,CARES
5003047,Sondara Gurukul,Dropped,Mindspark,None,Mindspark
5004123,Adani International School,Dropped,ASSET,None,ASSET
5004125,"The HDFC School, Bengaluru",Dropped,ASSET,None,ASSET
5004172,SRGVVK Trust School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
500529,Navy Children School,Dropped,ASSET,None,ASSET
5014602,Vimukti Sanstha ,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5014778,The Premia Academy,Dropped,"ASSET, CARES",None,"ASSET, CARES"
5014840,K.S.N. SENIOR SECONDARY SCHOOL,Dropped,"ASSET, CARES",None,"ASSET, CARES"
5014895,"Delhi Public School, Rohini",Dropped,ASSET,None,ASSET
5014914,BAPS Swaminarayan Vidyamandir Girls Residential School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5014915,"Tapasvi International School, Rajkot",Dropped,Mindspark,None,Mindspark
5015049,Nurture International School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5015638,KnowledgeGram International School,Dropped,CARES,None,CARES
5015734,Amrutvahinis NIDO International School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5015850,Parle Tilak Vidyalaya (ICSE),Dropped,ASSET,None,ASSET
5015855,"Priyadarshani School & Jr College, Priyadarshani School & Jr College, Indrayaninagar",Dropped,ASSET,None,ASSET
5015866,"Priyadarshani School, Bhosari",Dropped,ASSET,None,ASSET
5015890,"GG International School, Bavdhan",Dropped,ASSET,None,ASSET
5016141,A M Naik School,Dropped,ASSET,None,ASSET
5016187,"Delhi Public School, Knowledge Park -V",Dropped,ASSET,None,ASSET
5016188,MSB Educational Institute,Dropped,ASSET,None,ASSET
5016190,"Seth Anandram Jaipuria School, Greater Noida",Dropped,ASSET,None,ASSET
5016213,"Mayoor School, Jaipur",Dropped,"ASSET, CARES",None,"ASSET, CARES"
5016248,Him Academy Public School - Hira Nagar,Dropped,CARES,None,CARES
5016446,SBOA Global School,Dropped,Mindspark,None,Mindspark
5016478,SPK Jain Futuristic Academy,Dropped,Mindspark,None,Mindspark
5016602,Shri Rama Bharti Public School - Nahra Nahri,Dropped,"ASSET, CARES",None,"ASSET, CARES"
5016606,"Silver Oaks International School, Ameenpur",Dropped,ASSET,None,ASSET
5016613,MERU International School (Cambridge),Dropped,Mindspark,None,Mindspark
5016674,Shiv Nadar School,Dropped,ASSET,None,ASSET
5016893,"Meru International School, Tellapur",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5016913,Aryavart Ancient Academy - Khurda,Dropped,CARES,None,CARES
5017017,ODM Global School,Dropped,CARES,None,CARES
5017050,Global Indian International School,Dropped,ASSET,None,ASSET
5017080,Discoveri Oaks School (CBSE),Dropped,"ASSET, CARES",None,"ASSET, CARES"
5017199,GD Goenka Public School,Dropped,CARES,None,CARES
5017204,"Vega Schools Sector 76, Gurugram",Dropped,ASSET,None,ASSET
5017215,"Inventure Academy, Yeshwantpur Campus",Dropped,Mindspark,None,Mindspark
5017383,"Delhi Public School, Sec 122",Dropped,ASSET,None,ASSET
5017447,Vivekananda Mission School Baruipur,Dropped,Mindspark,None,Mindspark
5017448,Delhi Public School Hinjawadi Pune,Dropped,ASSET,None,ASSET
5017529,The Learning Sanctuary,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
5017533,Saraswati Schooling System,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5017598,Thamarai^s,Dropped,Mindspark,None,Mindspark
5017708,Moulya Gurukul International School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
5017739,Khaitan World School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5017780,Aalaya Academy Montessori & CBSE School,Dropped,Mindspark,None,Mindspark
5017808,Cedar Valley International School,Dropped,Mindspark,None,Mindspark
5017809,MSB Educational Institute Kota,Dropped,ASSET,None,ASSET
5017812,"IEM Public School, Newtown Kolkata",Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5017813,Mother Theresa Memorial School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
5017818,"MERU International School, Tellapur (Cambridge)",Dropped,Mindspark,None,Mindspark
5017849,Saraswati Vidya Mandir Senior Secondary School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
5017865,Priyadarshani Pune Police Public School,Dropped,ASSET,None,ASSET
5017915,National Public School - Kengeri,Dropped,Mindspark,None,Mindspark
5017918,KAMALANIKETAN MONTESSORI SCHOOL,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
5017936,The Cathedral & John Connon School - Senior Section,Dropped,CARES,None,CARES
5017985,Birla Open Minds International School,Dropped,Mindspark,None,Mindspark
5017989,Shri Rabindranath Tagore English Medium School (SRT),Dropped,Mindspark,None,Mindspark
5017990,Kavi Shri Narmad English Medium School (KSN),Dropped,Mindspark,None,Mindspark
5017993,Dr.Homi Jehangir Bhabha English Medium School No.78 (HJB),Dropped,Mindspark,None,Mindspark
5018035,"Apeejay School, Haldia",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5018044,Edu Girls,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5018122,Aarth Universal School,Dropped,ASSET,None,ASSET
5018142,Girls Primary School Teachers MJM,Dropped,ASSET,None,ASSET
5018143,Girls Primary School MJM,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5018144,IEM Public School Ashram Building,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5018147,"Shiv Nadar School, Noida (IB)",Dropped,ASSET,None,ASSET
5018148,"Shiv Nadar School, Noida",Dropped,ASSET,None,ASSET
5018150,Shiv Nadar School (IB),Dropped,ASSET,None,ASSET
5018151,Shiv Nadar School,Dropped,ASSET,None,ASSET
5018152,Shiv Nadar School (IB),Dropped,ASSET,None,ASSET
5018153,Shiv Nadar Trust,Dropped,ASSET,None,ASSET
5018164,Silver Oaks International School Kommadi,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5018174,The TVS School for CARES,Dropped,CARES,None,CARES
5018195,SNS Gurugram,Dropped,ASSET,None,ASSET
5018196,SNS Noida,Dropped,ASSET,None,ASSET
5018197,SNS Faridabad,Dropped,ASSET,None,ASSET
5018211,"St Joseph's Convent School, Laghata",Dropped,CARES,None,CARES
5018233,"Delhi Public School, Sector-30, Noida",Dropped,ASSET,None,ASSET
5018234,"Delhi Public School, Navi Mumbai",Dropped,ASSET,None,ASSET
5018239,Delhi Public School Society,Dropped,ASSET,None,ASSET
5018241,St Christopher Mission School,Dropped,ASSET,None,ASSET
5018247,St Joseph's Convent School Katwa,Dropped,CARES,None,CARES
5018319,The Magnet Public School,Dropped,CARES,None,CARES
5018337,Anthony Claret School,Dropped,CARES,None,CARES
5018344,Vimukti-DDGIC (Teacher's),Dropped,ASSET,None,ASSET
5018349,T B Desai Family Public Charitable Trust,Dropped,ASSET,None,ASSET
5018350,Akash International School (Managed by Vedant Group of Schools),Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5018377,"Silver Oaks School, Bowrampet",Dropped,ASSET,None,ASSET
5018392,Sri Ramakrushna Vidya Mandir,Dropped,CARES,None,CARES
5018396,"The Green Acres Academy, Kalyan",Dropped,ASSET,None,ASSET
5018417,"NLK Academy, Bhawanipur, Mandhana",Dropped,CARES,None,CARES
5018430,KRS Krishnamal Ramasubbaiyer school,Dropped,Mindspark,None,Mindspark
5018435,Khannur Vidyaniketan School,Dropped,CARES,None,CARES
5018445,"Holy Angels School, Holy Angels' School",Dropped,CARES,None,CARES
5018453,Swami Matriculation Higher Secondary School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
5018471,Mahatma Global Gatway Cambridge International Education,Dropped,Mindspark,None,Mindspark
5018473,The Heritage School Rampurhat,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
5018487,Green Valley English High School,Dropped,CARES,None,CARES
5018488,Nandha Gokulam Life School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
5018499,Gurukul Global School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
5018506,AADHAV PUBLIC SCHOOL,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
5018513,AID-NOIDA- (Teachers),Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5018520,"Vidyakunj International School, Shajapur",Dropped,Mindspark,None,Mindspark
5018537,GRD International School,Dropped,CARES,None,CARES
5018545,Jss Shri Manjunatheshwara Central School (Cbse),Dropped,CARES,None,CARES
5018578,Vidhya Vishwalaya,Dropped,"ASSET, CARES",None,"ASSET, CARES"
5018584,Bodoland Pioneer Public School,Dropped,Mindspark,None,Mindspark
5018655,Shivpuri Public School,Dropped,CARES,None,CARES
5018668,RSK International,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
5023577,Paras English Medium and Kishor Excellency school,Dropped,CARES,None,CARES
5024546,SOWDAMBIKA MOUNT LITERA ZEE SCHOOL,Dropped,CARES,None,CARES
5026233,St Mary's (Cambridge Board),Dropped,Mindspark,None,Mindspark
5029152,Sishya School Hosur,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5032729,Fathima Central Senior Secondary School,Dropped,CARES,None,CARES
5035523,KMGIS School,Dropped,Mindspark,None,Mindspark
5037382,SBS Model High School,Dropped,CARES,None,CARES
5037530,"Modi School, Gujarati Medium",Dropped,Mindspark,None,Mindspark
5038577,St. Mary's High School,Dropped,CARES,None,CARES
5039845,Chandigarh Baptist Senior Secondary School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5040517,"ARMY PUBLIC SCHOOL, Dhrangadhra",Dropped,Mindspark,None,Mindspark
5040879,Holy Mary Academy,Dropped,CARES,None,CARES
5042511,Lotus Petal Sr. Sec. School,Dropped,ASSET,None,ASSET
5042891,"GG International School, Tathawade",Dropped,ASSET,None,ASSET
5044289,Goldengates global school,Dropped,Mindspark,None,Mindspark
5044593,Young Ladies High School,Dropped,CARES,None,CARES
504488,"Billabong High International School, Bhopal",Dropped,Mindspark,None,Mindspark
5045366,"Presidency School, Banashankari",Dropped,ASSET,None,ASSET
5045565,St. Anthony’s School (Girls),Dropped,CARES,None,CARES
5046169,MEGA International School,Dropped,ASSET,None,ASSET
5049594,Santipur Public School,Dropped,CARES,None,CARES
5051627,Anubhav School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5052054,CNMS,Dropped,ASSET,None,ASSET
5053374,Sunflower Vedic School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
5054276,Kothakota Pupils High School Shadnagar,Dropped,CARES,None,CARES
5054739,Swami Janaki Das Vidyapith,Dropped,CARES,None,CARES
5055085,"Shemford Futuristic School, Dhatrigram",Dropped,CARES,None,CARES
5055276,"St. Mary's Convent School, Mariam Nagar",Dropped,CARES,None,CARES
5057744,Kothakota Pupils High School,Dropped,CARES,None,CARES
5057852,Kothakota Pupils High School,Dropped,CARES,None,CARES
5058694,S N Kansagra School - Full Day,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5063250,Fun Learn Day Boarding School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5063726,"Army Public School, Jaisalmer",Dropped,Mindspark,None,Mindspark
5064415,Fun Learn Day Boarding School ( Edu Girls),Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5068265,Harvest Spring Leaf School,Dropped,CARES,None,CARES
5069315,"SVKM School, Dhule",Dropped,ASSET,None,ASSET
5070237,"Kittu Rani Chennamma Residential School(U)(Sc),Telagarahalli",Dropped,ASSET,None,ASSET
5070312,"Kittu Rani Chennamma Residential School(Sc),Channaraypatna",Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5070482,"Kittu Rani Chennamma Residential School(Sc),Thyamagundalu",Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5070551,"Dr.B.R.Ambedkar Girl'S Residential School(Sc),Madhure",Dropped,ASSET,None,ASSET
507090,Seth Anandram Jaipuria School,Dropped,ASSET,None,ASSET
507154,Gurukul The School,Dropped,Mindspark,None,Mindspark
5074421,The Vega School,Dropped,ASSET,None,ASSET
5077577,Edu Girls KREIS,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
5094396,"Vision Coaching Classes, Baner",Dropped,Mindspark,None,Mindspark
5097252,St. Agnes Loreto Day School,Dropped,ASSET,None,ASSET
5099788,"Elpro International School, Hinjewadi",Dropped,ASSET,None,ASSET
5100324,Innovative International Day School,Dropped,Mindspark,None,Mindspark
5103484,PEP School V2,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
5107064,Manas International School,Dropped,Mindspark,None,Mindspark
5108173,Vikaasa Jubilee School,Dropped,ASSET,None,ASSET
5108240,Vikaasa Progressive school,Dropped,ASSET,None,ASSET
5108368,Vikaasa Heritage School,Dropped,ASSET,None,ASSET
5108463,Vikaasa Public school,Dropped,ASSET,None,ASSET
516721,Fravashi International Academy,Dropped,ASSET,None,ASSET
5184,Sishu Griha Montessori And High School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
519329,Delhi Public School Lava,Dropped,ASSET,None,ASSET
522044,Vidya Valley School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
525210,Silver Oaks High School,Dropped,ASSET,None,ASSET
529319,Saupin^s School,Dropped,ASSET,None,ASSET
530653,Dr. Kalmadi Shamarao High School (Secondary Section),Dropped,ASSET,None,ASSET
532393,St. Vivekanand Millennium School,Dropped,CARES,None,CARES
541153,Dikshant International School,Dropped,ASSET,None,ASSET
547865,The Lawrence School,Dropped,ASSET,None,ASSET
549920,Cambridge School_Noida,Dropped,ASSET,None,ASSET
551567,"Cambridge School, Greater Noida",Dropped,ASSET,None,ASSET
559045,"The Shri Ram School, Moulsari",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
559960,"Presidency School, Bangalore South",Dropped,ASSET,None,ASSET
562911,"JM International School, Dwarka",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
579462,Wisdom High International School (GOC),Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
581062,Saupin^s School,Dropped,ASSET,None,ASSET
598546,Fernwood School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
6019,"Padma Seshadri Bala Bhavan Senior Secondary School, T. Nagar",Dropped,ASSET,None,ASSET
60573,"The Heritage School, Rohini",Dropped,ASSET,None,ASSET
608032,Little^s Pre Primary & Primary School,Dropped,ASSET,None,ASSET
615868,N.E.T. Public School,Dropped,ASSET,None,ASSET
617089,Chanda Public School,Dropped,Mindspark,None,Mindspark
619657,Dr. Kalmadi Shamarao High School (Baner),Dropped,ASSET,None,ASSET
620889,Sat Paul Mittal School,Dropped,ASSET,None,ASSET
621568,Our Lady Of The Snows High School,Dropped,CARES,None,CARES
623030,A. K. Ghosh Memorial School,Dropped,ASSET,None,ASSET
628551,St. Michael^s School For Girls,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
632896,"KLE International School, Belagavi",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
6334,Jamnabai Narsee School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
63421,Amrit Vidyalaya,Dropped,CARES,None,CARES
641697,LT. Atul Katarya Memorial School,Dropped,CARES,None,CARES
650967,Deens Academy -Whitefield,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
6662,Delhi Public School Nazira,Dropped,Mindspark,None,Mindspark
700517,Disari Public School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
7061,Vasudev C Wadhwa Arya Vidya Mandir School,Dropped,ASSET,None,ASSET
7268,"Smt. Ramdevi Sobhraj Bajaj Arya Vidya Mandir, Mumbai",Dropped,ASSET,None,ASSET
770229,Sanghamitra School,Dropped,CARES,None,CARES
771752,"KLE International School, Rajajinagar, Bengaluru",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
810125,"Sunbeam School, Varuna",Dropped,Mindspark,None,Mindspark
810367,"Sunbeam School, Lahartara",Dropped,Mindspark,None,Mindspark
82810,Cambridge School_Srinivaspuri,Dropped,ASSET,None,ASSET
856520,Birla Public School,Dropped,Mindspark,None,Mindspark
8625,Tripada English School,Dropped,CARES,None,CARES
865626,South Point School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
950643,Kalka Public School,Dropped,CARES,None,CARES
9582,Akshar,Dropped,Mindspark,None,Mindspark
96888,J.B. Petit High School,Dropped,CARES,None,CARES
971627,Little Angels High School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
999141,Holy Angels School,Dropped,CARES,None,CARES
