School No,School Name,City,Category,Offering
3994892,Kavyapta Global School,Kharsawan,2 Products,"Ei ASSET,Ei Mindspark"
5017739,Khaitan World School,Ghaziabad,2 Products,"Ei ASSET, Ei Mindspark"
3896752,Krishna English Medium School,Rajkot,2 Products,"Ei ASSET, Ei Mindspark"
210666,Lakshmi School,Madurai,2 Products,"Ei ASSET, Ei ASSET,Ei Mindspark"
971627,Little Angels High School,Mumbai,2 Products,"Ei CARES, Ei Mindspark"
3469794,Lotus Valley School,Mandsaur,2 Products,"Ei ASSET,Ei CARES"
12539,Mahadevi Birla World Academy (Junior Wing),Kolkata,2 Products,"Ei CARES, Ei Mindspark"
3451055,Mahatma Global Gateway,Madurai,2 Products,"Ei ASSET, Ei CARES"
374785,Mallya Aditi International School,Bengaluru,2 Products,"Ei ASSET,Ei Mindspark"
5016213,"Mayoor School, Jaipur",Jaipur,2 Products,"Ei ASSET, Ei CARES"
5016893,"Meru International School, Tellapur",Hyderabad,2 Products,"Ei ASSET, Ei Mindspark"
3955038,Millennium World School-Moradabad,Moradabad,2 Products,"Ei CARES, Ei Mindspark"
3825980,"Modi School, CBSE",Rajkot,2 Products,"Ei ASSET, Ei Mindspark"
3780526,Morning Bells Academy Shayamnagar,Shyamnagar,2 Products,"Ei CARES, Ei Mindspark"
5017813,Mother Theresa Memorial School,Bengaluru,2 Products,"Ei ASSET,Ei CARES"
4002148,Mothers Public School-Khandagiri,Bhubaneswar,2 Products,"Ei ASSET, Ei CARES"
5017708,Moulya Gurukul International School,Bangalore,2 Products,"Ei CARES,Ei Mindspark"
253271,Mount St. Mary'S School,Delhi,2 Products,"Ei ASSET,Ei CARES"
5018488,Nandha Gokulam Life School,Sri Potti Sriramulu Nellore District,2 Products,"Ei CARES,Ei Mindspark"
5015049,Nurture International School,Bengaluru,2 Products,"Ei ASSET,Ei Mindspark"
5103484,PEP School V2,Bengaluru,2 Products,"Ei ASSET, Ei Mindspark"
2561674,PVPST Gujarati Medium School,Rajkot,2 Products,"Ei ASSET, Ei Mindspark"
391739,Pragyan School,Greater Noida,2 Products,"Ei CARES, Ei Mindspark"
5018668,RSK International,Thuraiyur,2 Products,"Ei CARES, Ei Mindspark"
366777,Rachana School (C.B.S.E.),Ahmedabad,2 Products,"Ei ASSET,Ei CARES"
1752,S N Kansagra School,Rajkot,2 Products,"Ei ASSET, Ei Mindspark"
3605584,"SAI International Residential School, Cuttack",Cuttack,2 Products,"Ei ASSET, Ei Mindspark"
1524162,SAI International School,Bhubaneswar,2 Products,"Ei ASSET, Ei Mindspark"
3626747,SGS International School,South 24 Paraganas,2 Products,"Ei ASSET,Ei Mindspark"
5017533,Saraswati Schooling System,Rajkot,2 Products,"Ei ASSET, Ei ASSET,Ei Mindspark"
5017849,Saraswati Vidya Mandir Senior Secondary School,Mandsaur,2 Products,"Ei CARES, Ei Mindspark"
3407332,Shiv Nadar School (CBSE),Faridabad,2 Products,"Ei ASSET, Ei Mindspark"
5016602,Shri Rama Bharti Public School - Nahra Nahri,Bahadurgarh,2 Products,"Ei ASSET, Ei CARES"
1837151,Shri Rama Bharti Public School - Sainik Nagar,Bahadurgarh,2 Products,"Ei ASSET, Ei CARES"
3495131,Silver Oaks High School,Visakhapatnam,2 Products,"Ei ASSET, Ei Mindspark"
5018164,Silver Oaks International School Kommadi,Visakhapatnam,2 Products,"Ei ASSET, Ei Mindspark"
3999496,Sky World School,Panchkula,2 Products,"Ei ASSET,Ei CARES"
865626,South Point School,Kolkata,2 Products,"Ei ASSET, Ei Mindspark"
19282,Sri Kumaran Children^s Home,Bengaluru,2 Products,"Ei ASSET,Ei Mindspark"
258293,Sri Sankara Senior Secondary School,Chennai,2 Products,"Ei ASSET, Ei CARES"
399475,"St. Francis De Sales Hr. Secondary School, Narengi",Guwahati,2 Products,"Ei CARES, Ei Mindspark"
159527,"St. Mary's School (ICSE), Mazagaon",Mumbai,2 Products,"Ei CARES, Ei Mindspark"
628551,St. Michael^s School For Girls,Siliguri,2 Products,"Ei ASSET, Ei Mindspark"
3998876,St.Michael^s Academy,Chennai,2 Products,"Ei CARES, Ei CARES,Ei Mindspark"
5053374,Sunflower Vedic School,Hyderabad,2 Products,"Ei CARES, Ei CARES,Ei Mindspark"
5018453,Swami Matriculation Higher Secondary School,Ariyalur,2 Products,"Ei CARES,Ei Mindspark"
2388998,The Cathedral & John Connon School - Junior Section,Mumbai,2 Products,"Ei ASSET, Ei Mindspark"
1324480,The Century School,Karnal,2 Products,"Ei ASSET,Ei Mindspark"
20238,The Daly College,Indore,2 Products,"Ei ASSET, Ei Mindspark"
359413,The Galaxy School - Wadi,Rajkot,2 Products,"Ei ASSET, Ei Mindspark"
5018473,The Heritage School Rampurhat,Rampurhat,2 Products,"Ei CARES, Ei Mindspark"
3883519,The Infinity School,Greater Noida,2 Products,"Ei ASSET, Ei CARES"
5017529,The Learning Sanctuary,Tura,2 Products,"Ei CARES,Ei Mindspark"
3799725,"The Millennium School, Noida Extension",Greater Noida,2 Products,"Ei ASSET,Ei CARES"
4082390,The Oriental School,Bhopal,2 Products,"Ei ASSET,Ei CARES"
3270957,"The Pentecostal Assembly School, Bokaro",Bokaro,2 Products,"Ei ASSET, Ei CARES"
5014778,The Premia Academy,Hyderabad,2 Products,"Ei ASSET, Ei CARES"
205449,The Riverside School,Ahmedabad,2 Products,"Ei ASSET,Ei Mindspark"
1551815,The Shishukunj International School,Indore,2 Products,"Ei ASSET, Ei CARES"
4105283,"The Shishukunj International School, North Campus",Indore,2 Products,"Ei ASSET, Ei CARES"
3505875,"The Shri Ram School, Junior Aravali",Gurugram,2 Products,"Ei ASSET, Ei Mindspark"
559045,"The Shri Ram School, Moulsari",Gurugram,2 Products,"Ei ASSET, Ei Mindspark"
364480,"The Shri Ram School, Senior Aravali",Gurugram,2 Products,"Ei ASSET, Ei Mindspark"
226552,"The Shri Ram School, Vasant Vihar",New Delhi,2 Products,"Ei ASSET, Ei Mindspark"
3513471,The Shri Ram Universal School,Hyderabad,2 Products,"Ei ASSET, Ei CARES"
3316968,The Sobha Academy,Palakkad District,2 Products,"Ei ASSET,Ei CARES"
376207,V V S Gandhi Centenary English Primary School (Dhruvadhama Campus),Bengaluru,2 Products,"Ei ASSET, Ei Mindspark"
3139,Vasant Valley School,New Delhi,2 Products,"Ei ASSET, Ei Mindspark"
5018578,Vidhya Vishwalaya,Coimbatore,2 Products,"Ei ASSET,Ei CARES, Ei CARES"
1163014,Vidya Devi Jindal School,Hisar,2 Products,"Ei ASSET, Ei Mindspark"
2389545,Vidya Mandir Estancia,Chennai,2 Products,"Ei ASSET, Ei ASSET,Ei Mindspark"
522044,Vidya Valley School,Pune,2 Products,"Ei CARES, Ei Mindspark"
1797713,Virudhunagar T S M Manickamnadar Janakiamamal Higher Secondary School,Madurai,2 Products,"Ei CARES,Ei Mindspark, Ei Mindspark"
202033,Vivekananda Educational Centre,Bengaluru,2 Products,"Ei ASSET, Ei Mindspark"
579462,Wisdom High International School (GOC),Nashik,2 Products,"Ei ASSET, Ei Mindspark"
3475635,Wisdom High International School (SMC),Nashik,2 Products,"Ei ASSET, Ei Mindspark"
2470921,Zydus School for Excellence - Godhavi,Ahmedabad,2 Products,"Ei ASSET,Ei Mindspark"
5018513,AID-NOIDA- (Teachers),Noida,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
5015734,Amrutvahinis NIDO International School,Sangamner,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
2472480,Apple Global School,Ahmedabad,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
